|TrainingName|TotalCost
553|businessobjects data integrator xi r1/r2: extracting, transforming and loading data (dm370r2)|3850
554|dimensional modeling in depth|3695
555|sas summer camp|0
556|bo reporter 6.5 - self study|125
557|bo designer xi - self study|125
558|bo coaching by steven|455
559|sas/macro|0
560|sas/macro|125
561|sas/macro|250
562|transport : swiss intern.|504,83999999999997
563|hotel kosten|300
564|english course : anglais, intensif pro vacances pour entreprise à bruxelles |339
565|overview sharepoint 2007|1480
566|overview sharepoint 2007|1480
567|cognos performance event|250
568|start implementation of new live|0
569|hotel kosten. basel - zurich|359,31999999999999
570|implementation of the live|0
571|gestion du changement dans un contexte it|500
572|informatica powercenter 8 level i developer |2080
573|spss clementine training|1500
574|cours de neerlandais à la cll|472
575|microstrategy narrowcasting essentials|500
576|cognos 8 superfasttrack course|4950
577|microstrategy: certified platform administrator|125
578|microstrategy: prepare certification|125
579|microstrategy certified engineer|750
580|advanced financial risk management : tools and techniques for integrated credit risk and interest rate risk mgmnt|101,15000000000001
581|microstrategy intelligence server administration|250
582|'initiative active' pour adulte en néerlandais à bruxelles.|394
583|teradata advanced sql - uk|3343
584|fly - london - teradata|372,97000000000003
585|spss clementine|1500
586|businessobjects xi r1/r2 - universe design|3250
587|cognos 8 bi report authoring - part 1|1500
588|cognos 8 bi metadata modeling - part 1 |2250
589|cognos performance 2007|250
590|sas forum 2007|250
591|oracle warehouse builder 10g: implementation part i (data warehousing and oracle bi) |2078,25
592|dimensional modeling in depth|2817
593|etl architecture in depth|2817
594|implementing microsoft office sharepoint server 2007 moc#5061|1800
595|implementing microsoft office sharepoint server 2007 (moc#5061)|1800
596|sas certification practice exam: advanced programming for sas(r) 9|45
597|sas certification: advanced programming for sas(r)9: course|325
598|implementing microsoft office sharepoint server 2007 |1800
599|certification sas base|238
600|formation excel|1175
601|nederlandse cursussen|1456
602|microstrategy 8 : reporting essentials|500
603|microstrategy 8: report services|250
604|microstrategy 8 : advanced reporting|750
605|book: sharepoint 2007 administration|34,899999999999999
606|reporting essentials, project design  report services, advanced reporting|150
607|sas base programming for sas (r) 9|363
608|néerlandais, modules trimestriels pour adulte à bruxelles |433
609|prince 2 - foundation (with exam)|1300
610|java|1400
611|to delete|0
612|oracle warehouse builder 10g: implementation part i|2078,25
613|private courses in dutch|880
614|cbip examinations guide (https://www.tdwi.org/certification/cbip/buy.aspx)|90
615|dutch lessons in the evening for adults|433
616|onkosten london - teradata|128,22
617|sas base programming for sas (r) 9|0
618|french training (treshold 2.2)|50
619|praktische managementvaardigheden|2180
620|java ee 5: a technical overview|790
621|sas forum 2007|250
622|sas(r) certification practice exam: advanced programming for sas(r) 9|45
623|assets en liabilities management ? basisprogramma|1610
624|bpi conference|745
625|sas forum belux|250
626|sas solutions overview seminar|125
627|dimensional modeling in depth|1000
628|aankopen van gas en elektriciteit|799
629|oracle 11g: introduction to sql|4200
630|sas forum|250
631|cognos performance 2007|250
632|dutch training|340
633|cll dutch course|472
634|onkosten sas global forum 2007|121,09
635|learning the bash shell : book|24,739999999999998
636|sas course preparation|0
637|sas enterprise guide|250
638|querying and reporting using sas/enterprise guide|1025
639|querying and reporting using sas/enterprise guide|1025
640|sas training preparation|0
641|basic risk management concepts. day 3|805
642|time management - organisation personnelle et gestion des priorités (csc04)|500
643|bi ee for architects|125
644|microstrategy report services|250
645|microstrategy advanced reporting|750
646|a professional certificate in treasury and financial risk management|805
647|a professional certificate in treasury and financial risk management|805
648|a professional certificate in treasury and financial risk management|805
649|a professional certificate in treasury and financial risk management|805
650|a professional certificate in treasury and financial risk management|805
651|cognos 8 bi -metadata modeling part i|2250
652|microstrategy world 2008 (user conference - miami)|2500
653|certification sas/advanced|238
654|ontwerpen van de nieuwe generatie datawarehouses|1750
655|project management excellence|4065
656|microstrategy report services: dynamic dashboards|250
657|business objects enterprise xi : administering users and contents|1513,4000000000001
658|2007 trends ceo summithttp://www.roulartaseminars.be/ceo_summit2007/registration.asp|590
659|cognos report authoring part i |1500
660|cognos report authoring part ii |2250
661|cognos server administration|625
662|cognos metadata modeling part i |2250
663|cognos metadata modeling part ii |1250
664|cognos bi ad hoc querying + analysis + content administration|2650
665|book bash shell : frais de douane|16,25
666|order preparation package for the sas advanced programming exam (a00-202 exam)link: http://www.examinside.com/a00-202.htm|52
